   Time(s)         P1         P2         P3         P4         P5        JSD
    0.0611     0.0000     0.1828     0.0000     0.0818     0.0222     0.0435 
    0.0614     0.0000     0.3825     0.0000     0.0868     0.0209     0.0502 
    0.0617     0.0000     0.2861     0.0000     0.1010     0.0185     0.0470 
    0.0620     0.6931     0.5714     0.0000     0.0658     0.0167     0.0467 
    0.0624     0.0000     0.3181     0.0000     0.0646     0.0185     0.0437 
    0.0627     0.0000     0.4058     0.0000     0.0799     0.0170     0.0448 
    0.0630     0.0000     0.3542     0.0000     0.0817     0.0292     0.0528 
    0.0633     0.6931     0.3979     0.0000     0.0868     0.0231     0.0511 
    0.0637     0.6931     0.2220     0.0000     0.0862     0.0228     0.0463 
    0.0640     0.6931     0.3591     0.0000     0.0728     0.0243     0.0490 
    0.0643     0.0000     0.2531     0.0000     0.0654     0.0243     0.0429 
    0.0646     0.0000     0.5112     0.0000     0.0815     0.0183     0.0481 
    0.0650     0.6931     0.4016     0.0000     0.0497     0.0193     0.0393 
    0.0653     0.0000     0.4145     0.0000     0.0632     0.0313     0.0497 
    0.0656     0.0000     0.3835     0.0000     0.0653     0.0224     0.0454 
    0.0659     0.0000     0.4264     0.0000     0.0624     0.0245     0.0467 
    0.0663     0.0000     0.4681     0.6931     0.0555     0.0117     0.0350 
    0.0666     0.0000     0.4936     0.6931     0.0683     0.0264     0.0519 
    0.0669     0.0000     0.5187     0.0000     0.0973     0.0198     0.0526 
    0.0672     0.0000     0.2567     0.0000     0.0563     0.0239     0.0394 
    0.0676     0.0000     0.3947     0.0000     0.0557     0.0148     0.0352 
    0.0679     0.0000     0.4929     0.0000     0.0823     0.0182     0.0452 
    0.0682     0.6931     0.3735     0.0000     0.0626     0.0174     0.0380 
    0.0685     0.0000     0.4569     0.0000     0.0712     0.0294     0.0490 
    0.0689     0.0000     0.5141     0.0000     0.0778     0.0276     0.0515 
    0.0692     0.0000     0.4280     0.0000     0.0782     0.0172     0.0400 
    0.0695     0.0000     0.4124     0.0000     0.0851     0.0149     0.0412 
    0.0698     0.0000     0.5369     0.0000     0.0612     0.0179     0.0395 
    0.0702     0.0000     0.3462     0.0000     0.0776     0.0194     0.0467 
    0.0705     0.0000     0.4216     0.0000     0.0499     0.0153     0.0334 
    0.0708     0.0000     0.6931     0.0000     0.0716     0.0168     0.0401 
    0.0711     0.0000     0.4395     0.0000     0.0541     0.0174     0.0341 
    0.0715     0.0000     0.4356     0.0000     0.0510     0.0194     0.0374 
    0.0718     0.0000     0.6931     0.0000     0.0665     0.0169     0.0395 
    0.0721     0.0000     0.5889     0.0000     0.0699     0.0205     0.0418 
    0.0724     0.6931     0.4902     0.0000     0.0542     0.0221     0.0401 
    0.0728     0.0000     0.5536     0.0000     0.0717     0.0162     0.0401 
    0.0731     0.0000     0.6113     0.0000     0.0889     0.0273     0.0542 
    0.0734     0.0000     0.4539     0.0000     0.0919     0.0289     0.0473 
    0.0737     0.0000     0.2908     0.0000     0.0589     0.0111     0.0298 
    0.0741     0.0000     0.6931     0.0000     0.0835     0.0119     0.0381 
    0.0744     0.0000     0.5889     0.0000     0.1059     0.0122     0.0432 
