  Time(ns)                Steps      Q_tot      Q_mod
    21.750              1450000     0.4796     0.5100
    21.825              1455000     0.4626     0.5100
    21.900              1460000     0.4830     0.5100
    21.975              1465000     0.4354     0.5100
    22.050              1470000     0.4626     0.5100
    22.125              1475000     0.4830     0.5100
    22.200              1480000     0.4592     0.5100
    22.275              1485000     0.4864     0.5100
    22.350              1490000     0.5102     0.5100
    22.425              1495000     0.4762     0.5100
    22.500              1500000     0.4762     0.5100
    22.575              1505000     0.4524     0.5100
    22.650              1510000     0.4728     0.5100
    22.725              1515000     0.4422     0.5100
    22.800              1520000     0.4728     0.5100
    22.875              1525000     0.4524     0.5100
    22.950              1530000     0.4660     0.5100
    23.025              1535000     0.4626     0.5100
    23.100              1540000     0.4728     0.5100
    23.175              1545000     0.5068     0.5100
    23.250              1550000     0.4728     0.5100
    23.325              1555000     0.5204     0.5100
    23.400              1560000     0.4898     0.5100
    23.475              1565000     0.5136     0.5100
    23.550              1570000     0.4728     0.5100
    23.625              1575000     0.4456     0.5100
    23.700              1580000     0.4796     0.5100
    23.775              1585000     0.4830     0.5100
    23.850              1590000     0.4966     0.5100
    23.925              1595000     0.5068     0.5100
    24.000              1600000     0.4932     0.5100
    24.075              1605000     0.5102     0.5100
    24.150              1610000     0.5136     0.5100
    24.225              1615000     0.5544     0.5100
    24.300              1620000     0.5170     0.5100
    24.375              1625000     0.5102     0.5100
    24.450              1630000     0.5136     0.5100
    24.525              1635000     0.5272     0.5100
    24.600              1640000     0.4898     0.5100
    24.675              1645000     0.5340     0.5100
    24.750              1650000     0.5306     0.5100
    24.825              1655000     0.5442     0.5100
    24.900              1660000     0.4796     0.5100
    24.975              1665000     0.5204     0.5100
    25.050              1670000     0.5408     0.5100
    25.125              1675000     0.5238     0.5100
    25.200              1680000     0.5918     0.5100
    25.275              1685000     0.5340     0.5100
    25.350              1690000     0.5170     0.5100
    25.425              1695000     0.5340     0.5100
    25.500              1700000     0.4864     0.5100
    25.575              1705000     0.5238     0.5100
    25.650              1710000     0.5408     0.5100
    25.725              1715000     0.5442     0.5100
    25.800              1720000     0.5918     0.5100
    25.875              1725000     0.5476     0.5100
    25.950              1730000     0.5952     0.5100
    26.025              1735000     0.5748     0.5100
    26.100              1740000     0.5646     0.5100
    26.175              1745000     0.5374     0.5100
    26.250              1750000     0.5646     0.5100
    26.325              1755000     0.5544     0.5100
    26.400              1760000     0.5646     0.5100
    26.475              1765000     0.5306     0.5100
    26.550              1770000     0.5170     0.5100
    26.625              1775000     0.5442     0.5100
    26.700              1780000     0.5442     0.5100
    26.775              1785000     0.5340     0.5100
    26.850              1790000     0.5272     0.5100
    26.925              1795000     0.5510     0.5500
    27.000              1800000     0.5646     0.5500
    27.075              1805000     0.5272     0.5500
    27.150              1810000     0.5544     0.5500
    27.225              1815000     0.6156     0.5500
    27.300              1820000     0.6088     0.5500
    27.375              1825000     0.6701     0.5500
    27.450              1830000     0.6327     0.5500
    27.525              1835000     0.6667     0.5500
    27.600              1840000     0.6531     0.5500
    27.675              1845000     0.6224     0.5500
    27.750              1850000     0.6633     0.5500
    27.825              1855000     0.6122     0.5500
    27.900              1860000     0.6054     0.5500
    27.975              1865000     0.5578     0.5500
    28.050              1870000     0.6088     0.5500
    28.125              1875000     0.5714     0.5500
    28.200              1880000     0.5816     0.5500
    28.275              1885000     0.6395     0.5500
    28.350              1890000     0.6531     0.5500
    28.425              1895000     0.6871     0.5500
    28.500              1900000     0.7075     0.5500
    28.575              1905000     0.7041     0.5500
    28.650              1910000     0.7415     0.5500
    28.725              1915000     0.6871     0.5300
    28.800              1920000     0.6837     0.5300
    28.875              1925000     0.6837     0.5300
    28.950              1930000     0.6156     0.5500
    29.025              1935000     0.7075     0.5500
    29.100              1940000     0.7109     0.5500
    29.175              1945000     0.7041     0.5100
    29.250              1950000     0.7347     0.5100
    29.325              1955000     0.7619     0.5100
    29.400              1960000     0.6939     0.5500
    29.475              1965000     0.7585     0.5500
    29.550              1970000     0.7891     0.5100
    29.625              1975000     0.8299     0.5300
    29.700              1980000     0.7211     0.5300
    29.775              1985000     0.7517     0.5100
    29.850              1990000     0.8095     0.5100
    29.925              1995000     0.7993     0.5100
    30.000              2000000     0.8163     0.5100
    30.075              2005000     0.8299     0.5100
    30.150              2010000     0.8129     0.5100
    30.225              2015000     0.8673     0.5100
    30.300              2020000     0.8537     0.5100
    30.375              2025000     0.8435     0.5100
    30.450              2030000     0.8707     0.5100
    30.525              2035000     0.8571     0.5100
    30.600              2040000     0.8707     0.5100
    30.675              2045000     0.8639     0.5100
    30.750              2050000     0.8605     0.5100
    30.825              2055000     0.8673     0.5100
    30.900              2060000     0.8741     0.5100
    30.975              2065000     0.8639     0.5100
    31.050              2070000     0.8776     0.4900
    31.125              2075000     0.8571     0.5100
    31.200              2080000     0.8707     0.5100
    31.275              2085000     0.8946     0.5100
    31.350              2090000     0.8673     0.5100
    31.425              2095000     0.8673     0.5100
    31.500              2100000     0.8639     0.5100
    31.575              2105000     0.8707     0.5100
    31.650              2110000     0.8469     0.5100
    31.725              2115000     0.8571     0.5100
    31.800              2120000     0.8095     0.4700
    31.875              2125000     0.8231     0.4700
    31.950              2130000     0.8605     0.4700
    32.025              2135000     0.8844     0.4700
    32.100              2140000     0.9082     0.4700
    32.175              2145000     0.9320     0.4700
    32.250              2150000     0.9388     0.4700
    32.325              2155000     0.9354     0.4700
    32.400              2160000     0.9116     0.4700
    32.475              2165000     0.9218     0.4700
    32.550              2170000     0.9490     0.4700
    32.625              2175000     0.9354     0.4700
    32.700              2180000     0.9286     0.4700
    32.775              2185000     0.9218     0.4700
    32.850              2190000     0.9014     0.4700
    32.925              2195000     0.8844     0.4700
    33.000              2200000     0.9116     0.4700
    33.075              2205000     0.9320     0.4700
    33.150              2210000     0.9150     0.4700
    33.225              2215000     0.8810     0.4700
    33.300              2220000     0.9218     0.4700
    33.375              2225000     0.9184     0.4700
    33.450              2230000     0.9320     0.4700
    33.525              2235000     0.8980     0.4700
    33.600              2240000     0.8980     0.4700
    33.675              2245000     0.9014     0.4700
    33.750              2250000     0.9048     0.4900
    33.825              2255000     0.9252     0.4900
    33.900              2260000     0.9490     0.4900
    33.975              2265000     0.8776     0.4900
    34.050              2270000     0.8912     0.4900
    34.125              2275000     0.8912     0.4700
    34.200              2280000     0.9116     0.4700
    34.275              2285000     0.8980     0.4700
    34.350              2290000     0.9184     0.5100
    34.425              2295000     0.9048     0.5100
    34.500              2300000     0.9184     0.5100
    34.575              2305000     0.8639     0.5100
    34.650              2310000     0.9218     0.5100
    34.725              2315000     0.8878     0.5100
    34.800              2320000     0.9184     0.5100
    34.875              2325000     0.9320     0.5100
    34.950              2330000     0.9456     0.5100
    35.025              2335000     0.8878     0.5100
    35.100              2340000     0.9184     0.5100
    35.175              2345000     0.9252     0.4700
    35.250              2350000     0.9456     0.4700
    35.325              2355000     0.9014     0.4700
    35.400              2360000     0.9388     0.4700
    35.475              2365000     0.9048     0.4700
    35.550              2370000     0.9286     0.4700
    35.625              2375000     0.8912     0.8700
