       D_1        D_2        D_3        1|2        2|3      total
    0.0000     0.6857     1.0000     0.0000     1.0000     0.7768
    0.5000     0.5143     0.9737     0.0000     1.0000     0.6696
    0.5000     0.6143     0.9474     0.0000     1.0000     0.7232
    0.0000     0.4143     0.9474     0.0000     1.0000     0.5893
    0.0000     0.4286     0.9737     0.0000     1.0000     0.6071
    0.5000     0.5571     0.9737     0.0000     1.0000     0.6964
    0.5000     0.6429     1.0000     0.0000     1.0000     0.7589
    1.0000     0.4714     1.0000     0.0000     1.0000     0.6607
    1.0000     0.2571     1.0000     0.0000     1.0000     0.5268
    0.0000     0.4000     0.9737     0.0000     1.0000     0.5893
    0.0000     0.3429     1.0000     0.0000     1.0000     0.5625
    0.5000     0.3571     0.9474     0.0000     1.0000     0.5625
    0.5000     0.3143     0.9737     0.0000     1.0000     0.5446
    0.5000     0.3000     0.9737     0.0000     1.0000     0.5357
    0.5000     0.3429     1.0000     0.0000     1.0000     0.5714
    0.0000     0.2714     1.0000     0.0000     1.0000     0.5179
    1.0000     0.3000     0.9737     0.0000     1.0000     0.5446
    0.5000     0.3857     0.9737     0.0000     1.0000     0.5893
    0.5000     0.5143     1.0000     0.0000     1.0000     0.6786
    0.5000     0.1714     0.9474     0.0000     1.0000     0.4464
    0.5000     0.4571     0.9474     0.0000     1.0000     0.6250
    0.5000     0.3429     1.0000     0.0000     1.0000     0.5714
    0.0000     0.2286     1.0000     0.0000     1.0000     0.4911
    0.5000     0.4143     0.9737     0.0000     1.0000     0.6071
    0.0000     0.4000     0.8947     0.0000     1.0000     0.5625
    0.0000     0.4143     0.9211     0.0000     1.0000     0.5804
    0.0000     0.4286     0.9211     0.0000     1.0000     0.5893
    0.5000     0.3429     0.8947     0.0000     1.0000     0.5357
    1.0000     0.4000     0.9474     0.0000     1.0000     0.5982
    0.5000     0.3857     0.9211     0.0000     1.0000     0.5714
    0.0000     0.4000     0.9474     0.0000     1.0000     0.5804
    0.5000     0.3000     0.9474     0.0000     1.0000     0.5268
    1.0000     0.3714     0.9474     0.0000     1.0000     0.5804
    0.0000     0.2714     0.8947     0.0000     1.0000     0.4821
    0.5000     0.2857     0.9474     0.0000     1.0000     0.5179
    0.5000     0.4714     0.9474     0.0000     1.0000     0.6339
    0.0000     0.4571     0.8947     0.0000     1.0000     0.5982
    0.0000     0.3857     0.9474     0.0000     1.0000     0.5714
    0.5000     0.4000     0.9211     0.0000     1.0000     0.5804
    0.5000     0.5714     0.9474     0.0000     1.0000     0.6964
    0.0000     0.4571     0.8684     0.0000     1.0000     0.5893
    0.5000     0.3857     0.9211     0.0000     1.0000     0.5714
    0.5000     0.2857     0.9474     0.0000     1.0000     0.5179
    0.5000     0.2714     0.9474     0.0000     1.0000     0.5089
    1.0000     0.3143     0.9474     0.0000     1.0000     0.5446
    1.0000     0.3143     0.9211     0.0000     1.0000     0.5357
    1.0000     0.5286     0.9474     0.0000     1.0000     0.6786
    0.5000     0.6714     0.9474     0.0000     1.0000     0.7589
    0.5000     0.5429     0.9737     0.0000     1.0000     0.6875
    1.0000     0.4571     0.8684     0.0000     1.0000     0.6071
    0.5000     0.4714     0.8158     0.0000     1.0000     0.5893
    0.5000     0.3857     0.7105     0.0000     1.0000     0.5000
    0.0000     0.4429     0.9737     0.0000     1.0000     0.6161
    1.0000     0.5000     1.0000     0.0000     1.0000     0.6786
    1.0000     0.5286     1.0000     0.0000     1.0000     0.6964
    0.5000     0.5714     0.9737     0.0000     1.0000     0.7054
